"Date","Case_Status","Cases_Count"
"2020-10-19","Active",37
"2020-10-19","Deceased",25
"2020-10-19","Recovered",1824
"2020-10-20","Active",33
"2020-10-20","Deceased",25
"2020-10-20","Recovered",1829
"2020-10-21","Active",56
"2020-10-21","Deceased",25
"2020-10-21","Recovered",1831
"2020-10-22","Active",58
"2020-10-22","Deceased",25
"2020-10-22","Recovered",1831
"2020-10-23","Active",61
"2020-10-23","Deceased",25
"2020-10-23","Recovered",1832
"2020-10-24","Active",74
"2020-10-24","Deceased",25
"2020-10-24","Recovered",1835
"2020-10-25","Active",70
"2020-10-25","Deceased",25
"2020-10-25","Recovered",1840
"2020-10-26","Active",74
"2020-10-26","Deceased",25
"2020-10-26","Recovered",1841
"2020-10-27","Active",68
"2020-10-27","Deceased",25
"2020-10-27","Recovered",1848
"2020-10-28","Active",66
"2020-10-28","Deceased",25
"2020-10-28","Recovered",1852
"2020-10-29","Active",70
"2020-10-29","Deceased",25
"2020-10-29","Recovered",1854
"2020-10-30","Active",68
"2020-10-30","Deceased",25
"2020-10-30","Recovered",1857
"2020-10-31","Active",75
"2020-10-31","Deceased",25
"2020-10-31","Recovered",1857
"2020-11-01","Active",77
"2020-11-01","Deceased",25
"2020-11-01","Recovered",1857
"2020-11-02","Active",81
"2020-11-02","Deceased",25
"2020-11-02","Recovered",1857
"2020-11-03","Active",75
"2020-11-03","Deceased",25
"2020-11-03","Recovered",1868
"2020-11-04","Active",73
"2020-11-04","Deceased",25
"2020-11-04","Recovered",1873
"2020-11-05","Active",67
"2020-11-05","Deceased",25
"2020-11-05","Recovered",1881
"2020-11-06","Active",44
"2020-11-06","Deceased",25
"2020-11-06","Recovered",1905
"2020-11-07","Active",43
"2020-11-07","Deceased",25
"2020-11-07","Recovered",1908
"2020-11-08","Active",48
"2020-11-08","Deceased",25
"2020-11-08","Recovered",1909
"2020-11-09","Active",51
"2020-11-09","Deceased",25
"2020-11-09","Recovered",1910
"2020-11-10","Active",52
"2020-11-10","Deceased",25
"2020-11-10","Recovered",1910
"2020-11-11","Active",52
"2020-11-11","Deceased",25
"2020-11-11","Recovered",1911
"2020-11-12","Active",53
"2020-11-12","Deceased",25
"2020-11-12","Recovered",1913
"2020-11-13","Active",53
"2020-11-13","Deceased",25
"2020-11-13","Recovered",1917
"2020-11-14","Active",55
"2020-11-14","Deceased",25
"2020-11-14","Recovered",1918
"2020-11-15","Active",58
"2020-11-15","Deceased",25
"2020-11-15","Recovered",1918
"2020-11-16","Active",58
"2020-11-16","Deceased",25
"2020-11-16","Recovered",1918
"2020-11-17","Active",61
"2020-11-17","Deceased",25
"2020-11-17","Recovered",1919
"2020-11-18","Active",64
"2020-11-18","Deceased",25
"2020-11-18","Recovered",1919
"2020-11-19","Active",37
"2020-11-19","Deceased",25
"2020-11-19","Recovered",1948
"2020-11-20","Active",40
"2020-11-20","Deceased",25
"2020-11-20","Recovered",1948
"2020-11-21","Active",42
"2020-11-21","Deceased",25
"2020-11-21","Recovered",1952
"2020-11-22","Active",50
"2020-11-22","Deceased",25
"2020-11-22","Recovered",1953
"2020-11-23","Active",52
"2020-11-23","Deceased",25
"2020-11-23","Recovered",1953
"2020-11-24","Active",53
"2020-11-24","Deceased",25
"2020-11-24","Recovered",1953
"2020-11-25","Active",59
"2020-11-25","Deceased",25
"2020-11-25","Recovered",1955
"2020-11-26","Active",60
"2020-11-26","Deceased",25
"2020-11-26","Recovered",1955
"2020-11-27","Active",66
"2020-11-27","Deceased",25
"2020-11-27","Recovered",1956
"2020-11-28","Active",69
"2020-11-28","Deceased",25
"2020-11-28","Recovered",1956
"2020-11-29","Active",68
"2020-11-29","Deceased",25
"2020-11-29","Recovered",1958
"2020-11-30","Active",72
"2020-11-30","Deceased",25
"2020-11-30","Recovered",1959
"2020-12-01","Active",72
"2020-12-01","Deceased",25
"2020-12-01","Recovered",1962
"2020-12-02","Active",72
"2020-12-02","Deceased",25
