"Location","Report_date","Cases"
"Total","2021-06-07",4
"Total","2021-06-06",3
"Total","2021-06-05",0
"Total","2021-06-04",2
"Total","2021-06-03",1
"Total","2021-06-02",2
"Total","2021-06-01",5
"Total","2021-05-31",0
"Total","2021-05-30",2
"Total","2021-05-29",1
"Total","2021-05-28",0
"Total","2021-05-27",1
"Total","2021-05-26",0
"Total","2021-05-25",1
"Total","2021-05-24",2
"Total","2021-05-23",4
"Total","2021-05-22",0
"Total","2021-05-21",3
"Total","2021-05-20",1
"Total","2021-05-19",1
"Total","2021-05-18",6
"Total","2021-05-17",1
"Total","2021-05-16",5
"Total","2021-05-15",1
"Total","2021-05-14",0
"Total","2021-05-13",0
"Total","2021-05-12",1
"Total","2021-05-11",1
"Total","2021-05-10",0
"Total","2021-05-09",1
"Total","2021-05-08",1
"Total","2021-05-07",3
"Total","2021-05-06",5
"Total","2021-05-05",1
"Total","2021-05-04",4
"Total","2021-05-03",1
"Total","2021-05-02",4
"Total","2021-05-01",3
"Total","2021-04-30",4
"Total","2021-04-29",1
"Total","2021-04-28",2
"Total","2021-04-27",2
"Total","2021-04-26",4
"Total","2021-04-25",4
"Total","2021-04-24",0
"Total","2021-04-23",2
"Total","2021-04-22",0
"Total","2021-04-21",4
"Total","2021-04-20",1
"Total","2021-04-19",0
"Total","2021-04-18",2
"Total","2021-04-17",2
"Total","2021-04-16",2
"Total","2021-04-15",3
"Total","2021-04-14",2
"Total","2021-04-13",1
"Total","2021-04-12",4
"Total","2021-04-11",8
"Total","2021-04-10",6
"Total","2021-04-09",8
"Total","2021-04-08",5
"Total","2021-04-07",19
"Total","2021-04-06",7
"Total","2021-04-05",10
"Total","2021-04-04",7
"Total","2021-04-03",1
"Total","2021-04-02",4
"Total","2021-04-01",0
"Total","2021-03-31",5
"Total","2021-03-30",2
"Total","2021-03-29",2
"Total","2021-03-28",10
"Total","2021-03-27",2
"Total","2021-03-26",1
"Total","2021-03-25",3
"Total","2021-03-24",5
"Total","2021-03-23",3
"Total","2021-03-22",7
"Total","2021-03-21",5
"Total","2021-03-20",6
"Total","2021-03-19",6
"Total","2021-03-18",1
"Total","2021-03-17",7
"Total","2021-03-16",2
"Total","2021-03-15",1
"Total","2021-03-14",7
"Total","2021-03-13",1
"Total","2021-03-12",3
"Total","2021-03-11",1
"Total","2021-03-10",8
"Total","2021-03-09",1
"Total","2021-03-08",3
"Total","2021-03-07",7
"Total","2021-03-06",1
"Total","2021-03-05",9
"Total","2021-03-04",0
"Total","2021-03-03",6
"Total","2021-03-02",1
"Total","2021-03-01",4
"Total","2021-02-28",3
"Total","2021-02-27",4
"Total","2021-02-26",1
"Total","2021-02-25",2
"Total","2021-02-24",2
"Total","2021-02-23",7
"Total","2021-02-22",5
"Total","2021-02-21",1
"Total","2021-02-20",2
"Total","2021-02-19",7
"Total","2021-02-18",0
"Total","2021-02-17",5
"Total","2021-02-16",2
"Total","2021-02-15",1
"Total","2021-02-14",5
"Total","2021-02-13",2
"Total","2021-02-12",4
"Total","2021-02-11",1
"Total","2021-02-10",2
"Total","2021-02-09",2
"Total","2021-02-08",1
"Total","2021-02-07",0
"Total","2021-02-06",2
"Total","2021-02-05",2
"Total","2021-02-04",4
"Total","2021-02-03",3
"Total","2021-02-02",4
"Total","2021-02-01",1
"Total","2021-01-31",0
"Total","2021-01-30",0
"Total","2021-01-29",2
"Total","2021-01-28",5
"Total","2021-01-27",6
"Total","2021-01-26",1
"Total","2021-01-25",2
"Total","2021-01-24",6
"Total","2021-01-23",6
"Total","2021-01-22",3
"Total","2021-01-21",4
"Total","2021-01-20",4
"Total","2021-01-19",2
"Total","2021-01-18",2
"Total","2021-01-17",2
"Total","2021-01-16",5
"Total","2021-01-15",6
"Total","2021-01-14",6
"Total","2021-01-13",8
"Total","2021-01-12",2
"Total","2021-01-11",6
"Total","2021-01-10",9
"Total","2021-01-09",8
"Total","2021-01-08",4
"Total","2021-01-07",18
"Total","2021-01-06",2
"Total","2021-01-05",2
"Total","2021-01-04",1
"Total","2021-01-03",3
"Total","2021-01-02",8
"Total","2021-01-01",6
"Total","2020-12-31",3
"Total","2020-12-30",7
"Total","2020-12-29",4
"Total","2020-12-28",6
"Total","2020-12-27",3
"Total","2020-12-26",3
"Total","2020-12-25",2
"Total","2020-12-24",6
