"Location","Report_date","Cases"
"South Canterbury","2020-11-26",0
"South Canterbury","2020-11-25",0
"South Canterbury","2020-11-24",0
"South Canterbury","2020-11-23",0
"South Canterbury","2020-11-22",0
"South Canterbury","2020-11-21",0
"South Canterbury","2020-11-20",0
"South Canterbury","2020-11-19",0
"South Canterbury","2020-11-18",0
"South Canterbury","2020-11-17",0
"South Canterbury","2020-11-16",0
"South Canterbury","2020-11-15",0
"South Canterbury","2020-11-14",0
"South Canterbury","2020-11-13",0
"South Canterbury","2020-11-12",0
"South Canterbury","2020-11-11",0
"South Canterbury","2020-11-10",0
"South Canterbury","2020-11-09",0
"South Canterbury","2020-11-08",0
"South Canterbury","2020-11-07",0
"South Canterbury","2020-11-06",0
"South Canterbury","2020-11-05",0
"South Canterbury","2020-11-04",0
"South Canterbury","2020-11-03",0
"South Canterbury","2020-11-02",0
"South Canterbury","2020-11-01",0
"South Canterbury","2020-10-31",0
"South Canterbury","2020-10-30",0
"South Canterbury","2020-10-29",0
"South Canterbury","2020-10-28",0
"South Canterbury","2020-10-27",0
"South Canterbury","2020-10-26",0
"South Canterbury","2020-10-25",0
"South Canterbury","2020-10-24",0
"South Canterbury","2020-10-23",0
"South Canterbury","2020-10-22",0
"South Canterbury","2020-10-21",0
"South Canterbury","2020-10-20",0
"South Canterbury","2020-10-19",0
"South Canterbury","2020-10-18",0
"South Canterbury","2020-10-17",0
"South Canterbury","2020-10-16",0
"South Canterbury","2020-10-15",0
"South Canterbury","2020-10-14",0
"South Canterbury","2020-10-13",0
"South Canterbury","2020-10-12",0
"South Canterbury","2020-10-11",0
"South Canterbury","2020-10-10",0
"South Canterbury","2020-10-09",0
"South Canterbury","2020-10-08",0
"South Canterbury","2020-10-07",0
"South Canterbury","2020-10-06",0
"South Canterbury","2020-10-05",0
"South Canterbury","2020-10-04",0
"South Canterbury","2020-10-03",0
"South Canterbury","2020-10-02",0
"South Canterbury","2020-10-01",0
"South Canterbury","2020-09-30",0
"South Canterbury","2020-09-29",0
"South Canterbury","2020-09-28",0
"South Canterbury","2020-09-27",0
"South Canterbury","2020-09-26",0
"South Canterbury","2020-09-25",0
"South Canterbury","2020-09-24",0
"South Canterbury","2020-09-23",0
"South Canterbury","2020-09-22",0
"South Canterbury","2020-09-21",0
"South Canterbury","2020-09-20",0
"South Canterbury","2020-09-19",0
"South Canterbury","2020-09-18",0
"South Canterbury","2020-09-17",0
"South Canterbury","2020-09-16",0
"South Canterbury","2020-09-15",0
"South Canterbury","2020-09-14",0
"South Canterbury","2020-09-13",0
"South Canterbury","2020-09-12",0
"South Canterbury","2020-09-11",0
"South Canterbury","2020-09-10",0
"South Canterbury","2020-09-09",0
"South Canterbury","2020-09-08",0
"South Canterbury","2020-09-07",0
"South Canterbury","2020-09-06",0
"South Canterbury","2020-09-05",0
"South Canterbury","2020-09-04",0
"South Canterbury","2020-09-03",0
"South Canterbury","2020-09-02",0
"South Canterbury","2020-09-01",0
"South Canterbury","2020-08-31",0
"South Canterbury","2020-08-30",0
"South Canterbury","2020-08-29",0
"South Canterbury","2020-08-28",0
"South Canterbury","2020-08-27",0
"South Canterbury","2020-08-26",0
"South Canterbury","2020-08-25",0
"South Canterbury","2020-08-24",0
"South Canterbury","2020-08-23",0
"South Canterbury","2020-08-22",0
"South Canterbury","2020-08-21",0
"South Canterbury","2020-08-20",0
"South Canterbury","2020-08-19",0
"South Canterbury","2020-08-18",0
"South Canterbury","2020-08-17",0
"South Canterbury","2020-08-16",0
"South Canterbury","2020-08-15",0
"South Canterbury","2020-08-14",0
"South Canterbury","2020-08-13",0
"South Canterbury","2020-08-12",0
"South Canterbury","2020-08-11",0
"South Canterbury","2020-08-10",0
"South Canterbury","2020-08-09",0
"South Canterbury","2020-08-08",0
"South Canterbury","2020-08-07",0
"South Canterbury","2020-08-06",0
"South Canterbury","2020-08-05",0
"South Canterbury","2020-08-04",0
"South Canterbury","2020-08-03",0
"South Canterbury","2020-08-02",0
"South Canterbury","2020-08-01",0
"South Canterbury","2020-07-31",0
"South Canterbury","2020-07-30",0
"South Canterbury","2020-07-29",0
"South Canterbury","2020-07-28",0
"South Canterbury","2020-07-27",0
"South Canterbury","2020-07-26",0
"South Canterbury","2020-07-25",0
"South Canterbury","2020-07-24",0
"South Canterbury","2020-07-23",0
"South Canterbury","2020-07-22",0
"South Canterbury","2020-07-21",0
"South Canterbury","2020-07-20",0
"South Canterbury","2020-07-19",0
"South Canterbury","2020-07-18",0
"South Canterbury","2020-07-17",0
"South Canterbury","2020-07-16",0
"South Canterbury","2020-07-15",0
"South Canterbury","2020-07-14",0
"South Canterbury","2020-07-13",0
"South Canterbury","2020-07-12",0
"South Canterbury","2020-07-11",0
"South Canterbury","2020-07-10",0
"South Canterbury","2020-07-09",0
"South Canterbury","2020-07-08",0
"South Canterbury","2020-07-07",0
"South Canterbury","2020-07-06",0
"South Canterbury","2020-07-05",0
"South Canterbury","2020-07-04",0
"South Canterbury","2020-07-03",0
"South Canterbury","2020-07-02",0
"South Canterbury","2020-07-01",0
"South Canterbury","2020-06-30",0
"South Canterbury","2020-06-29",0
"South Canterbury","2020-06-28",0
"South Canterbury","2020-06-27",0
"South Canterbury","2020-06-26",0
"South Canterbury","2020-06-25",0
"South Canterbury","2020-06-24",0
"South Canterbury","2020-06-23",0
"South Canterbury","2020-06-22",0
"South Canterbury","2020-06-21",0
"South Canterbury","2020-06-20",0
"South Canterbury","2020-06-19",0
"South Canterbury","2020-06-18",0
"South Canterbury","2020-06-17",0
"South Canterbury","2020-06-16",0
"South Canterbury","2020-06-15",0
"South Canterbury","2020-06-14",0
"South Canterbury","2020-06-13",0
"South Canterbury","2020-06-12",0
"South Canterbury","2020-06-11",0
"South Canterbury","2020-06-10",0
"South Canterbury","2020-06-09",0
"South Canterbury","2020-06-08",0
"South Canterbury","2020-06-07",0
"South Canterbury","2020-06-06",0
"South Canterbury","2020-06-05",0
"South Canterbury","2020-06-04",0
"South Canterbury","2020-06-03",0
"South Canterbury","2020-06-02",0
"South Canterbury","2020-06-01",0
"South Canterbury","2020-05-31",0
"South Canterbury","2020-05-30",0
"South Canterbury","2020-05-29",0
"South Canterbury","2020-05-28",0
"South Canterbury","2020-05-27",0
"South Canterbury","2020-05-26",0
"South Canterbury","2020-05-25",0
"South Canterbury","2020-05-24",0
"South Canterbury","2020-05-23",0
"South Canterbury","2020-05-22",0
"South Canterbury","2020-05-21",0
"South Canterbury","2020-05-20",0
"South Canterbury","2020-05-19",0
"South Canterbury","2020-05-18",0
"South Canterbury","2020-05-17",0
"South Canterbury","2020-05-16",0
"South Canterbury","2020-05-15",0
"South Canterbury","2020-05-14",0
"South Canterbury","2020-05-13",0
"South Canterbury","2020-05-12",0
"South Canterbury","2020-05-11",0
"South Canterbury","2020-05-10",0
"South Canterbury","2020-05-09",0
"South Canterbury","2020-05-08",0
"South Canterbury","2020-05-07",0
"South Canterbury","2020-05-06",0
"South Canterbury","2020-05-05",0
"South Canterbury","2020-05-04",0
"South Canterbury","2020-05-03",0
"South Canterbury","2020-05-02",0
"South Canterbury","2020-05-01",0
"South Canterbury","2020-04-30",0
"South Canterbury","2020-04-29",0
"South Canterbury","2020-04-28",0
"South Canterbury","2020-04-27",0
"South Canterbury","2020-04-26",0
"South Canterbury","2020-04-25",1
"South Canterbury","2020-04-24",0
"South Canterbury","2020-04-23",0
"South Canterbury","2020-04-22",0
"South Canterbury","2020-04-21",0
"South Canterbury","2020-04-20",0
"South Canterbury","2020-04-19",1
"South Canterbury","2020-04-18",0
"South Canterbury","2020-04-17",1
"South Canterbury","2020-04-16",0
"South Canterbury","2020-04-15",1
"South Canterbury","2020-04-14",1
"South Canterbury","2020-04-13",0
"South Canterbury","2020-04-12",0
"South Canterbury","2020-04-11",1
"South Canterbury","2020-04-10",0
"South Canterbury","2020-04-09",0
"South Canterbury","2020-04-08",1
"South Canterbury","2020-04-07",0
"South Canterbury","2020-04-06",0
"South Canterbury","2020-04-05",0
"South Canterbury","2020-04-04",0
"South Canterbury","2020-04-03",0
"South Canterbury","2020-04-02",0
"South Canterbury","2020-04-01",0
"South Canterbury","2020-03-31",0
"South Canterbury","2020-03-30",0
"South Canterbury","2020-03-29",2
"South Canterbury","2020-03-28",0
"South Canterbury","2020-03-27",2
"South Canterbury","2020-03-26",0
"South Canterbury","2020-03-25",0
"South Canterbury","2020-03-24",0
"South Canterbury","2020-03-23",1
"South Canterbury","2020-03-22",0
"South Canterbury","2020-03-21",0
"South Canterbury","2020-03-20",0
"South Canterbury","2020-03-19",0
"South Canterbury","2020-03-18",0
"South Canterbury","2020-03-17",0
"South Canterbury","2020-03-16",0
"South Canterbury","2020-03-15",0
"South Canterbury","2020-03-14",0
"South Canterbury","2020-03-13",0
"South Canterbury","2020-03-12",0
"South Canterbury","2020-03-11",0
"South Canterbury","2020-03-10",0
"South Canterbury","2020-03-09",0
"South Canterbury","2020-03-08",0
"South Canterbury","2020-03-07",0
"South Canterbury","2020-03-06",0
"South Canterbury","2020-03-05",0
"South Canterbury","2020-03-04",0
"South Canterbury","2020-03-03",0
"South Canterbury","2020-03-02",0
"South Canterbury","2020-03-01",0
"South Canterbury","2020-02-29",0
"South Canterbury","2020-02-28",0
"South Canterbury","2020-02-27",0
"South Canterbury","2020-02-26",0
"Southern","2023-01-13",126
"Southern","2023-01-12",158
"Southern","2023-01-11",165
"Southern","2023-01-10",223
"Southern","2023-01-09",244
"Southern","2023-01-08",134
"Southern","2023-01-07",145
"Southern","2023-01-06",200
"Southern","2023-01-05",277
"Southern","2023-01-04",306
"Southern","2023-01-03",185
"Southern","2023-01-02",192
"Southern","2023-01-01",134
"Southern","2022-12-31",129
"Southern","2022-12-30",210
"Southern","2022-12-29",233
"Southern","2022-12-28",287
"Southern","2022-12-27",193
"Southern","2022-12-26",164
"Southern","2022-12-25",125
"Southern","2022-12-24",171
"Southern","2022-12-23",267
"Southern","2022-12-22",263
"Southern","2022-12-21",329
"Southern","2022-12-20",368
"Southern","2022-12-19",442
"Southern","2022-12-18",251
"Southern","2022-12-17",241
"Southern","2022-12-16",356
"Southern","2022-12-15",427
"Southern","2022-12-14",487
"Southern","2022-12-13",543
"Southern","2022-12-12",576
"Southern","2022-12-11",353
"Southern","2022-12-10",262
"Southern","2022-12-09",422
"Southern","2022-12-08",410
"Southern","2022-12-07",472
"Southern","2022-12-06",466
"Southern","2022-12-05",516
"Southern","2022-12-04",279
"Southern","2022-12-03",228
"Southern","2022-12-02",341
"Southern","2022-12-01",326
"Southern","2022-11-30",382
"Southern","2022-11-29",405
"Southern","2022-11-28",371
"Southern","2022-11-27",186
"Southern","2022-11-26",165
"Southern","2022-11-25",220
"Southern","2022-11-24",271
"Southern","2022-11-23",279
"Southern","2022-11-22",310
"Southern","2022-11-21",357
"Southern","2022-11-20",184
"Southern","2022-11-19",153
"Southern","2022-11-18",284
"Southern","2022-11-17",227
"Southern","2022-11-16",263
"Southern","2022-11-15",262
"Southern","2022-11-14",298
"Southern","2022-11-13",176
"Southern","2022-11-12",147
"Southern","2022-11-11",230
"Southern","2022-11-10",220
"Southern","2022-11-09",265
"Southern","2022-11-08",283
"Southern","2022-11-07",302
"Southern","2022-11-06",168
"Southern","2022-11-05",124
"Southern","2022-11-04",220
"Southern","2022-11-03",228
"Southern","2022-11-02",254
"Southern","2022-11-01",265
"Southern","2022-10-31",312
"Southern","2022-10-30",172
"Southern","2022-10-29",149
"Southern","2022-10-28",156
"Southern","2022-10-27",204
"Southern","2022-10-26",204
"Southern","2022-10-25",219
"Southern","2022-10-24",168
"Southern","2022-10-23",103
"Southern","2022-10-22",93
"Southern","2022-10-21",119
"Southern","2022-10-20",136
"Southern","2022-10-19",145
"Southern","2022-10-18",140
"Southern","2022-10-17",154
"Southern","2022-10-16",90
"Southern","2022-10-15",77
"Southern","2022-10-14",80
"Southern","2022-10-13",88
"Southern","2022-10-12",105
"Southern","2022-10-11",104
"Southern","2022-10-10",117
"Southern","2022-10-09",62
"Southern","2022-10-08",38
"Southern","2022-10-07",72
"Southern","2022-10-06",64
"Southern","2022-10-05",91
"Southern","2022-10-04",77
"Southern","2022-10-03",96
"Southern","2022-10-02",55
"Southern","2022-10-01",41
"Southern","2022-09-30",53
"Southern","2022-09-29",84
"Southern","2022-09-28",83
"Southern","2022-09-27",93
"Southern","2022-09-26",49
"Southern","2022-09-25",43
"Southern","2022-09-24",43
"Southern","2022-09-23",69
"Southern","2022-09-22",71
"Southern","2022-09-21",69
"Southern","2022-09-20",80
"Southern","2022-09-19",88
"Southern","2022-09-18",50
"Southern","2022-09-17",58
"Southern","2022-09-16",58
"Southern","2022-09-15",57
"Southern","2022-09-14",70
"Southern","2022-09-13",83
"Southern","2022-09-12",84
"Southern","2022-09-11",46
"Southern","2022-09-10",44
"Southern","2022-09-09",54
"Southern","2022-09-08",80
"Southern","2022-09-07",83
"Southern","2022-09-06",94
"Southern","2022-09-05",101
"Southern","2022-09-04",55
"Southern","2022-09-03",58
"Southern","2022-09-02",83
"Southern","2022-09-01",107
"Southern","2022-08-31",127
"Southern","2022-08-30",153
"Southern","2022-08-29",151
"Southern","2022-08-28",116
"Southern","2022-08-27",72
"Southern","2022-08-26",117
"Southern","2022-08-25",149
"Southern","2022-08-24",166
"Southern","2022-08-23",228
"Southern","2022-08-22",217
"Southern","2022-08-21",138
"Southern","2022-08-20",138
"Southern","2022-08-19",212
"Southern","2022-08-18",208
"Southern","2022-08-17",277
"Southern","2022-08-16",269
"Southern","2022-08-15",333
"Southern","2022-08-14",231
"Southern","2022-08-13",183
"Southern","2022-08-12",242
"Southern","2022-08-11",252
"Southern","2022-08-10",324
"Southern","2022-08-09",338
"Southern","2022-08-08",442
"Southern","2022-08-07",269
"Southern","2022-08-06",271
"Southern","2022-08-05",364
"Southern","2022-08-04",412
"Southern","2022-08-03",525
"Southern","2022-08-02",528
"Southern","2022-08-01",564
"Southern","2022-07-31",388
"Southern","2022-07-30",347
"Southern","2022-07-29",472
"Southern","2022-07-28",586
"Southern","2022-07-27",597
"Southern","2022-07-26",717
"Southern","2022-07-25",768
"Southern","2022-07-24",526
"Southern","2022-07-23",488
"Southern","2022-07-22",623
"Southern","2022-07-21",770
"Southern","2022-07-20",854
"Southern","2022-07-19",932
"Southern","2022-07-18",918
"Southern","2022-07-17",671
"Southern","2022-07-16",598
"Southern","2022-07-15",876
"Southern","2022-07-14",892
"Southern","2022-07-13",1040
"Southern","2022-07-12",907
"Southern","2022-07-11",949
"Southern","2022-07-10",584
"Southern","2022-07-09",503
"Southern","2022-07-08",651
"Southern","2022-07-07",655
"Southern","2022-07-06",846
"Southern","2022-07-05",848
"Southern","2022-07-04",803
"Southern","2022-07-03",560
"Southern","2022-07-02",499
"Southern","2022-07-01",625
"Southern","2022-06-30",681
"Southern","2022-06-29",633
"Southern","2022-06-28",687
"Southern","2022-06-27",746
"Southern","2022-06-26",439
"Southern","2022-06-25",362
"Southern","2022-06-24",332
"Southern","2022-06-23",403
"Southern","2022-06-22",437
"Southern","2022-06-21",458
"Southern","2022-06-20",511
"Southern","2022-06-19",345
"Southern","2022-06-18",289
"Southern","2022-06-17",421
"Southern","2022-06-16",440
"Southern","2022-06-15",505
"Southern","2022-06-14",451
"Southern","2022-06-13",564
"Southern","2022-06-12",359
"Southern","2022-06-11",378
"Southern","2022-06-10",416
"Southern","2022-06-09",506
"Southern","2022-06-08",618
"Southern","2022-06-07",608
"Southern","2022-06-06",436
"Southern","2022-06-05",353
"Southern","2022-06-04",369
"Southern","2022-06-03",467
"Southern","2022-06-02",480
"Southern","2022-06-01",628
"Southern","2022-05-31",601
"Southern","2022-05-30",611
"Southern","2022-05-29",372
"Southern","2022-05-28",299
"Southern","2022-05-27",463
"Southern","2022-05-26",491
"Southern","2022-05-25",608
"Southern","2022-05-24",632
"Southern","2022-05-23",664
"Southern","2022-05-22",466
"Southern","2022-05-21",349
"Southern","2022-05-20",528
"Southern","2022-05-19",599
"Southern","2022-05-18",648
"Southern","2022-05-17",751
"Southern","2022-05-16",787
"Southern","2022-05-15",571
"Southern","2022-05-14",484
"Southern","2022-05-13",622
"Southern","2022-05-12",747
"Southern","2022-05-11",929
"Southern","2022-05-10",760
"Southern","2022-05-09",904
"Southern","2022-05-08",655
"Southern","2022-05-07",535
"Southern","2022-05-06",697
"Southern","2022-05-05",721
"Southern","2022-05-04",911
"Southern","2022-05-03",911
"Southern","2022-05-02",947
"Southern","2022-05-01",793
"Southern","2022-04-30",632
"Southern","2022-04-29",785
"Southern","2022-04-28",884
"Southern","2022-04-27",1061
"Southern","2022-04-26",1291
"Southern","2022-04-25",873
"Southern","2022-04-24",764
"Southern","2022-04-23",665
"Southern","2022-04-22",929
"Southern","2022-04-21",1120
"Southern","2022-04-20",1348
"Southern","2022-04-19",1418
"Southern","2022-04-18",988
"Southern","2022-04-17",749
"Southern","2022-04-16",708
"Southern","2022-04-15",795
"Southern","2022-04-14",973
"Southern","2022-04-13",1095
"Southern","2022-04-12",1147
"Southern","2022-04-11",1337
"Southern","2022-04-10",937
"Southern","2022-04-09",823
"Southern","2022-04-08",991
"Southern","2022-04-07",1109
"Southern","2022-04-06",1158
"Southern","2022-04-05",1372
"Southern","2022-04-04",1462
"Southern","2022-04-03",958
"Southern","2022-04-02",735
"Southern","2022-04-01",1000
"Southern","2022-03-31",1241
"Southern","2022-03-30",1209
"Southern","2022-03-29",1386
"Southern","2022-03-28",1412
"Southern","2022-03-27",936
"Southern","2022-03-26",801
"Southern","2022-03-25",1103
"Southern","2022-03-24",1244
"Southern","2022-03-23",1461
"Southern","2022-03-22",1633
"Southern","2022-03-21",1444
"Southern","2022-03-20",947
"Southern","2022-03-19",849
"Southern","2022-03-18",1006
"Southern","2022-03-17",1100
"Southern","2022-03-16",1221
"Southern","2022-03-15",1201
"Southern","2022-03-14",1234
"Southern","2022-03-13",794
"Southern","2022-03-12",702
"Southern","2022-03-11",849
"Southern","2022-03-10",873
"Southern","2022-03-09",904
"Southern","2022-03-08",840
"Southern","2022-03-07",926
"Southern","2022-03-06",502
"Southern","2022-03-05",445
"Southern","2022-03-04",553
"Southern","2022-03-03",629
"Southern","2022-03-02",613
"Southern","2022-03-01",582
"Southern","2022-02-28",532
"Southern","2022-02-27",386
"Southern","2022-02-26",449
"Southern","2022-02-25",1080
"Southern","2022-02-24",491
"Southern","2022-02-23",238
"Southern","2022-02-22",337
"Southern","2022-02-21",206
"Southern","2022-02-20",82
"Southern","2022-02-19",107
"Southern","2022-02-18",64
"Southern","2022-02-17",65
"Southern","2022-02-16",31
"Southern","2022-02-15",34
"Southern","2022-02-14",26
"Southern","2022-02-13",16
"Southern","2022-02-12",11
"Southern","2022-02-11",8
"Southern","2022-02-10",3
"Southern","2022-02-09",2
"Southern","2022-02-08",0
"Southern","2022-02-07",0
"Southern","2022-02-06",0
"Southern","2022-02-05",0
"Southern","2022-02-04",0
"Southern","2022-02-03",0
"Southern","2022-02-02",0
"Southern","2022-02-01",0
"Southern","2022-01-31",0
"Southern","2022-01-30",0
"Southern","2022-01-29",0
"Southern","2022-01-28",0
"Southern","2022-01-27",0
"Southern","2022-01-26",0
"Southern","2022-01-25",0
"Southern","2022-01-24",0
"Southern","2022-01-23",0
"Southern","2022-01-22",0
"Southern","2022-01-21",0
"Southern","2022-01-20",0
"Southern","2022-01-19",0
"Southern","2022-01-18",0
"Southern","2022-01-17",0
"Southern","2022-01-16",0
"Southern","2022-01-15",0
"Southern","2022-01-14",0
"Southern","2022-01-13",0
"Southern","2022-01-12",1
"Southern","2022-01-11",0
"Southern","2022-01-10",0
"Southern","2022-01-09",0
"Southern","2022-01-08",0
"Southern","2022-01-07",0
"Southern","2022-01-06",0
"Southern","2022-01-05",0
"Southern","2022-01-04",0
"Southern","2022-01-03",0
"Southern","2022-01-02",0
"Southern","2022-01-01",0
"Southern","2021-12-31",0
"Southern","2021-12-30",0
"Southern","2021-12-29",0
"Southern","2021-12-28",0
"Southern","2021-12-27",0
"Southern","2021-12-26",0
"Southern","2021-12-25",0
"Southern","2021-12-24",0
"Southern","2021-12-23",0
"Southern","2021-12-22",0
"Southern","2021-12-21",0
"Southern","2021-12-20",0
"Southern","2021-12-19",0
"Southern","2021-12-18",0
"Southern","2021-12-17",0
"Southern","2021-12-16",0
"Southern","2021-12-15",0
"Southern","2021-12-14",0
"Southern","2021-12-13",0
"Southern","2021-12-12",0
"Southern","2021-12-11",0
"Southern","2021-12-10",0
"Southern","2021-12-09",0
"Southern","2021-12-08",0
"Southern","2021-12-07",0
"Southern","2021-12-06",0
"Southern","2021-12-05",0
"Southern","2021-12-04",0
"Southern","2021-12-03",0
"Southern","2021-12-02",0
"Southern","2021-12-01",0
"Southern","2021-11-30",0
"Southern","2021-11-29",0
"Southern","2021-11-28",0
"Southern","2021-11-27",0
"Southern","2021-11-26",0
"Southern","2021-11-25",0
"Southern","2021-11-24",0
"Southern","2021-11-23",0
"Southern","2021-11-22",0
"Southern","2021-11-21",0
"Southern","2021-11-20",0
"Southern","2021-11-19",0
"Southern","2021-11-18",0
"Southern","2021-11-17",0
"Southern","2021-11-16",0
"Southern","2021-11-15",0
"Southern","2021-11-14",0
"Southern","2021-11-13",0
"Southern","2021-11-12",0
"Southern","2021-11-11",0
"Southern","2021-11-10",0
"Southern","2021-11-09",0
"Southern","2021-11-08",0
"Southern","2021-11-07",0
"Southern","2021-11-06",0
"Southern","2021-11-05",0
"Southern","2021-11-04",0
"Southern","2021-11-03",0
"Southern","2021-11-02",0
"Southern","2021-11-01",0
"Southern","2021-10-31",0
"Southern","2021-10-30",0
"Southern","2021-10-29",0
"Southern","2021-10-28",0
"Southern","2021-10-27",0
"Southern","2021-10-26",0
"Southern","2021-10-25",0
"Southern","2021-10-24",0
"Southern","2021-10-23",0
"Southern","2021-10-22",0
"Southern","2021-10-21",0
"Southern","2021-10-20",0
"Southern","2021-10-19",0
"Southern","2021-10-18",0
"Southern","2021-10-17",0
"Southern","2021-10-16",0
"Southern","2021-10-15",0
"Southern","2021-10-14",0
"Southern","2021-10-13",0
"Southern","2021-10-12",0
"Southern","2021-10-11",0
"Southern","2021-10-10",0
"Southern","2021-10-09",0
"Southern","2021-10-08",0
"Southern","2021-10-07",0
"Southern","2021-10-06",0
"Southern","2021-10-05",0
"Southern","2021-10-04",0
"Southern","2021-10-03",0
"Southern","2021-10-02",0
"Southern","2021-10-01",0
"Southern","2021-09-30",0
"Southern","2021-09-29",0
"Southern","2021-09-28",0
"Southern","2021-09-27",0
"Southern","2021-09-26",0
"Southern","2021-09-25",0
"Southern","2021-09-24",0
"Southern","2021-09-23",0
"Southern","2021-09-22",0
"Southern","2021-09-21",0
"Southern","2021-09-20",0
"Southern","2021-09-19",0
"Southern","2021-09-18",0
"Southern","2021-09-17",0
"Southern","2021-09-16",0
"Southern","2021-09-15",0
"Southern","2021-09-14",0
"Southern","2021-09-13",0
"Southern","2021-09-12",0
"Southern","2021-09-11",0
"Southern","2021-09-10",0
"Southern","2021-09-09",0
"Southern","2021-09-08",0
"Southern","2021-09-07",0
"Southern","2021-09-06",0
"Southern","2021-09-05",0
"Southern","2021-09-04",0
"Southern","2021-09-03",0
"Southern","2021-09-02",0
"Southern","2021-09-01",0
"Southern","2021-08-31",0
"Southern","2021-08-30",0
"Southern","2021-08-29",0
"Southern","2021-08-28",0
"Southern","2021-08-27",0
"Southern","2021-08-26",0
"Southern","2021-08-25",0
"Southern","2021-08-24",0
"Southern","2021-08-23",0
"Southern","2021-08-22",0
"Southern","2021-08-21",0
"Southern","2021-08-20",0
"Southern","2021-08-19",0
"Southern","2021-08-18",0
"Southern","2021-08-17",0
"Southern","2021-08-16",0
"Southern","2021-08-15",0
"Southern","2021-08-14",0
"Southern","2021-08-13",0
"Southern","2021-08-12",0
"Southern","2021-08-11",0
"Southern","2021-08-10",0
"Southern","2021-08-09",0
"Southern","2021-08-08",0
"Southern","2021-08-07",0
"Southern","2021-08-06",0
"Southern","2021-08-05",0
"Southern","2021-08-04",0
"Southern","2021-08-03",0
"Southern","2021-08-02",0
"Southern","2021-08-01",0
"Southern","2021-07-31",0
"Southern","2021-07-30",0
"Southern","2021-07-29",0
"Southern","2021-07-28",0
"Southern","2021-07-27",0
"Southern","2021-07-26",0
"Southern","2021-07-25",0
"Southern","2021-07-24",0
"Southern","2021-07-23",0
"Southern","2021-07-22",0
"Southern","2021-07-21",0
"Southern","2021-07-20",0
"Southern","2021-07-19",0
"Southern","2021-07-18",0
"Southern","2021-07-17",0
"Southern","2021-07-16",0
"Southern","2021-07-15",0
"Southern","2021-07-14",0
"Southern","2021-07-13",0
"Southern","2021-07-12",0
"Southern","2021-07-11",0
"Southern","2021-07-10",0
"Southern","2021-07-09",0
"Southern","2021-07-08",0
"Southern","2021-07-07",0
"Southern","2021-07-06",0
"Southern","2021-07-05",0
"Southern","2021-07-04",0
"Southern","2021-07-03",0
"Southern","2021-07-02",0
"Southern","2021-07-01",0
"Southern","2021-06-30",0
"Southern","2021-06-29",0
"Southern","2021-06-28",0
"Southern","2021-06-27",0
"Southern","2021-06-26",0
"Southern","2021-06-25",0
"Southern","2021-06-24",0
"Southern","2021-06-23",0
"Southern","2021-06-22",0
"Southern","2021-06-21",0
"Southern","2021-06-20",0
"Southern","2021-06-19",0
"Southern","2021-06-18",0
"Southern","2021-06-17",0
"Southern","2021-06-16",0
"Southern","2021-06-15",0
"Southern","2021-06-14",0
"Southern","2021-06-13",0
"Southern","2021-06-12",0
"Southern","2021-06-11",0
"Southern","2021-06-10",0
"Southern","2021-06-09",0
"Southern","2021-06-08",0
"Southern","2021-06-07",0
"Southern","2021-06-06",0
"Southern","2021-06-05",0
"Southern","2021-06-04",0
"Southern","2021-06-03",0
"Southern","2021-06-02",0
"Southern","2021-06-01",0
"Southern","2021-05-31",0
"Southern","2021-05-30",0
"Southern","2021-05-29",0
"Southern","2021-05-28",0
"Southern","2021-05-27",0
"Southern","2021-05-26",0
"Southern","2021-05-25",0
"Southern","2021-05-24",0
"Southern","2021-05-23",0
"Southern","2021-05-22",0
"Southern","2021-05-21",0
"Southern","2021-05-20",0
"Southern","2021-05-19",0
"Southern","2021-05-18",0
"Southern","2021-05-17",0
"Southern","2021-05-16",0
"Southern","2021-05-15",0
"Southern","2021-05-14",0
"Southern","2021-05-13",0
"Southern","2021-05-12",0
"Southern","2021-05-11",0
"Southern","2021-05-10",0
"Southern","2021-05-09",0
"Southern","2021-05-08",0
"Southern","2021-05-07",0
"Southern","2021-05-06",0
"Southern","2021-05-05",0
"Southern","2021-05-04",0
"Southern","2021-05-03",0
"Southern","2021-05-02",0
"Southern","2021-05-01",0
"Southern","2021-04-30",0
"Southern","2021-04-29",0
"Southern","2021-04-28",0
"Southern","2021-04-27",0
"Southern","2021-04-26",0
"Southern","2021-04-25",0
"Southern","2021-04-24",0
"Southern","2021-04-23",0
"Southern","2021-04-22",0
"Southern","2021-04-21",0
"Southern","2021-04-20",0
"Southern","2021-04-19",0
"Southern","2021-04-18",0
"Southern","2021-04-17",0
"Southern","2021-04-16",0
"Southern","2021-04-15",0
"Southern","2021-04-14",0
"Southern","2021-04-13",0
"Southern","2021-04-12",0
"Southern","2021-04-11",0
"Southern","2021-04-10",0
"Southern","2021-04-09",0
"Southern","2021-04-08",0
"Southern","2021-04-07",0
"Southern","2021-04-06",0
"Southern","2021-04-05",0
"Southern","2021-04-04",0
"Southern","2021-04-03",0
"Southern","2021-04-02",0
"Southern","2021-04-01",0
"Southern","2021-03-31",0
"Southern","2021-03-30",0
"Southern","2021-03-29",0
"Southern","2021-03-28",0
"Southern","2021-03-27",0
"Southern","2021-03-26",0
"Southern","2021-03-25",0
"Southern","2021-03-24",0
"Southern","2021-03-23",0
"Southern","2021-03-22",0
